gene	peak	max_abs_Z_RNA	max_abs_Z_ATAC	PPA_3	h2cis_RNA	h2cis_se_RNA	h2cis_p_RNA	h2cis_ATAC	h2cis_se_ATAC	h2cis_p_ATAC	oe_lof_upper	loeuf_quintile	peak_pos	gene_pos	peak_distance	peak_distance_quintile	start_atac	end_atac
MTHFR	ATAC_chr1_11784769_11785767	12.1258	9.31547	0.999745	0.2915	0.04236	0	0.46024	0.0832	0	0.922	3	11785267	11806454	21187	2	11784769	11785767
MTHFR	ATAC_chr1_11814451_11815688	12.1258	5.93719	0.999152	0.2915	0.04236	0	0.25682	0.09165	0.0027	0.922	3	11815069	11806454	8615	2	11814451	11815688
NPPA	ATAC_chr1_11784769_11785767	4.68409	9.31547	0.998475	0.10948	0.03301	5.00E-05	0.46024	0.0832	0	1.741	5	11785267	11848344	63077	4	11784769	11785767
NPPA	ATAC_chr1_11814451_11815688	4.68409	5.93719	0.999172	0.10948	0.03301	5.00E-05	0.25682	0.09165	0.0027	1.741	5	11815069	11848344	33275	3	11814451	11815688
TNFRSF1B	ATAC_chr1_12203781_12204647	3.62101	7.27326	0.995759	0.0089	0.01953	0.3628	0.53686	0.13428	0.00045	0.476	2	12204213	12166990	37223	3	12203781	12204647
PRDM2	ATAC_chr1_13753621_13754982	5.72424	10.8124	0.999077	0.07244	0.02786	0.0043	0.61123	0.0765	0	0.222	1	13754301	13700187	54114	4	13753621	13754982
TMEM51	ATAC_chr1_15155975_15157370	4.27146	6.95054	0.999548	0.07447	0.03411	0.01748	0.58431	0.10724	0.00027	0.765	3	15156672	15152531	4141	1	15155975	15157370
FHAD1	ATAC_chr1_15246963_15247629	5.43632	5.31851	0.999927	0.03965	0.02834	0.1131	0.20737	0.10357	0.0429	1.346	5	15247295	15236520	10775	2	15246963	15247629
HSPB7	ATAC_chr1_16014761_16015243	6.24379	6.30126	0.998758	0.09638	0.0316	1.00E-05	0.30962	0.08626	4.00E-05	1.576	5	16015001	16019593	4592	1	16014761	16015243
ZBTB17	ATAC_chr1_16014761_16015243	4.80364	6.30126	0.99952	0.04784	0.02221	0.00641	0.30962	0.08626	4.00E-05	0.309	1	16015001	15976131	38870	3	16014761	16015243
ARHGEF19	ATAC_chr1_16206053_16207609	20.8242	7.30286	0.99984	0.62048	0.04686	0	0.40781	0.08575	0	1.151	4	16206831	16212651	5820	2	16206053	16207609
ATP13A2	ATAC_chr1_17023115_17023605	6.1174	7.73393	0.99979	0.1008	0.04269	0.00367	0.49572	0.09646	2.00E-05	0.584	2	17023359	17011927	11432	2	17023115	17023605
CDA	ATAC_chr1_20590346_20590738	9.01686	4.59202	0.99991	0.19803	0.04465	0	0.2976	0.12491	0.02103	1.318	4	20590541	20589085	1456	1	20590346	20590738
NBPF3	ATAC_chr1_21439784_21440411	33.4866	17.7049	1	0.73888	0.03263	0	0.61829	0.07825	0	1.151	4	21440097	21440127	30	1	21439784	21440411
USP48	ATAC_chr1_21761672_21763712	22.6488	9.79629	0.999946	0.54956	0.04252	0	0.53911	0.0832	0	0.161	1	21762691	21783605	20914	2	21761672	21763712
USP48	ATAC_chr1_21763861_21764978	22.6488	4.71842	0.99982	0.54956	0.04252	0	0.24094	0.10119	0.01813	0.161	1	21764419	21783605	19186	2	21763861	21764978
CNR2	ATAC_chr1_23896450_23896959	3.97206	4.60956	0.998554	0.04716	0.02785	0.03416	0.1381	0.11147	0.1591	1.683	5	23896704	23913361	16657	2	23896450	23896959
CNR2	ATAC_chr1_23897121_23897738	4.00866	6.91425	0.998359	0.04716	0.02785	0.03416	0.32775	0.12253	0.00731	1.683	5	23897429	23913361	15932	2	23897121	23897738
RHD	ATAC_chr1_25266373_25268420	17.7965	27.5205	0.999981	0.50385	0.05054	0	0.94314	0.02556	0	0.951	3	25267396	25272392	4996	1	25266373	25268420
RHD	ATAC_chr1_25287077_25287577	17.7965	14.1497	0.999975	0.50385	0.05054	0	0.77008	0.05723	0	0.951	3	25287327	25272392	14935	2	25287077	25287577
RHD	ATAC_chr1_25308771_25309412	16.9007	17.5228	1	0.50385	0.05054	0	0.87752	0.03621	0	0.951	3	25309091	25272392	36699	3	25308771	25309412
RHD	ATAC_chr1_25330000_25330278	13.8151	9.99985	0.999997	0.50385	0.05054	0	0.69996	0.08007	0	0.951	3	25330139	25272392	57747	4	25330000	25330278
LDLRAP1	ATAC_chr1_25548850_25550759	9.93275	6.72028	0.999455	0.01482	0.02622	0.3312	0.4271	0.09043	1.00E-05	1.163	4	25549804	25543605	6199	2	25548850	25550759
PAQR7	ATAC_chr1_25796928_25797275	4.85643	3.52004	0.997332	0.09606	0.03648	8.00E-05	0.11969	0.08104	0.06368	1.175	4	25797101	25875707	78606	4	25796928	25797275
PAQR7	ATAC_chr1_25802875_25803338	4.85643	3.60918	0.993461	0.09606	0.03648	8.00E-05	0.09591	0.05686	0.03875	1.175	4	25803106	25875707	72601	4	25802875	25803338
AUNIP	ATAC_chr1_25844672_25845410	3.85674	6.03119	0.995844	0.03315	0.02261	0.05198	0.31787	0.09524	2.00E-05	1.579	5	25845041	25859457	14416	2	25844672	25845410
PIGV	ATAC_chr1_26889340_26890781	4.76967	4.77333	0.995336	0.06341	0.02702	0.0003	0.30499	0.10278	0.00019	1.238	4	26890060	26787053	103007	4	26889340	26890781
WASF2	ATAC_chr1_27360543_27360957	6.26259	4.24082	0.995403	0.10981	0.03914	0	0.15789	0.07553	0.00922	0.311	1	27360749	27490166	129417	5	27360543	27360957
WASF2	ATAC_chr1_27427328_27427789	6.21125	5.42547	0.995292	0.10981	0.03914	0	0.18234	0.07021	0.00179	0.311	1	27427558	27490166	62608	4	27427328	27427789
COL16A1	ATAC_chr1_31707624_31708112	8.23615	4.71481	0.999965	0.25891	0.05975	0	0.24697	0.1027	0.00545	0.627	2	31707867	31704318	3549	1	31707624	31708112
AGO1	ATAC_chr1_36023018_36024078	3.82004	10.1828	0.997466	0.03042	0.0254	0.03416	0.49912	0.0773	0	0.057	1	36023547	35869807	153740	5	36023018	36024078
INPP5B	ATAC_chr1_37901170_37902262	12.5432	12.9957	0.999997	0.24843	0.04468	0	0.73585	0.07423	0	0.834	3	37901715	37947056	45341	3	37901170	37902262
NDUFS5	ATAC_chr1_39025607_39027275	39.1802	10.4512	0.999915	0.82266	0.02091	0	0.66375	0.10987	8.00E-05	1.353	5	39026441	39026317	124	1	39025607	39027275
NT5C1A	ATAC_chr1_39666243_39667718	5.29686	3.8948	0.999753	0.23245	0.05257	0	0.08245	0.09192	0.2193	0.963	3	39666980	39672106	5126	1	39666243	39667718
OXCT2	ATAC_chr1_39701870_39702312	10.1696	4.16997	0.999797	0.36912	0.05625	0	0.05277	0.08856	0.3144	1.955	5	39702091	39771347	69256	4	39701870	39702312
PPIE	ATAC_chr1_39701870_39702312	8.93263	4.16997	0.999787	0.34247	0.05654	0	0.05277	0.08856	0.3144	0.445	2	39702091	39692181	9910	2	39701870	39702312
BMP8B	ATAC_chr1_39773450_39773842	20.4177	4.52579	0.99997	0.67448	0.03921	0	0.19737	0.10788	0.02799	1.269	4	39773645	39788864	15219	2	39773450	39773842
BMP8B	ATAC_chr1_39775765_39776674	20.4177	12.0743	0.999999	0.67448	0.03921	0	0.62885	0.07776	0	1.269	4	39776219	39788864	12645	2	39775765	39776674
BMP8B	ATAC_chr1_39788643_39789829	19.8191	6.81964	0.999971	0.67448	0.03921	0	0.44667	0.09351	1.00E-05	1.269	4	39789235	39788864	371	1	39788643	39789829
BMP8B	ATAC_chr1_39798856_39800116	19.9815	5.16866	0.99953	0.67448	0.03921	0	0.48034	0.10568	0.00034	1.269	4	39799485	39788864	10621	2	39798856	39800116
RIMS3	ATAC_chr1_40628010_40629330	5.75535	5.5007	0.999684	0.13937	0.03852	0	0.28351	0.09154	0.0034	1.06	4	40628669	40665681	37012	3	40628010	40629330
RIMKLA	ATAC_chr1_42379990_42381453	8.06358	4.97153	0.999942	0.20907	0.0575	0	0.39175	0.13693	0.01221	1.015	4	42380721	42380791	70	1	42379990	42381453
SLC2A1	ATAC_chr1_42930896_42934394	14.7933	4.09907	0.999682	0.33553	0.06988	0	0.15798	0.10737	0.07596	0.241	1	42932645	42958892	26247	3	42930896	42934394
LURAP1	ATAC_chr1_46347931_46348538	4.58985	6.65913	0.998377	0.06413	0.03065	0.00065	0.35722	0.09532	7.00E-05	1.182	4	46348234	46203333	144901	5	46347931	46348538
NSUN4	ATAC_chr1_46347931_46348538	26.1438	6.65913	0.992703	0.45477	0.049	0	0.35722	0.09532	7.00E-05	0.914	3	46348234	46340788	7446	2	46347931	46348538
ECHDC2	ATAC_chr1_52921194_52922058	12.0561	6.32771	0.999404	0.20862	0.0457	0	0.4046	0.12757	0.00021	1.254	4	52921625	52927211	5586	1	52921194	52922058
ECHDC2	ATAC_chr1_52926977_52928293	12.0561	14.208	0.99023	0.20862	0.0457	0	0.60947	0.08159	0	1.254	4	52927635	52927211	424	1	52926977	52928293
SCP2	ATAC_chr1_52921194_52922058	15.6303	6.32771	0.999917	0.30264	0.05502	0	0.4046	0.12757	0.00021	0.76	3	52921625	52927275	5650	1	52921194	52922058
SCP2	ATAC_chr1_52926977_52928293	15.6303	14.208	1	0.30264	0.05502	0	0.60947	0.08159	0	0.76	3	52927635	52927275	360	1	52926977	52928293
ZYG11B	ATAC_chr1_52926977_52928293	8.0447	14.208	0.996103	0.13116	0.03829	0	0.60947	0.08159	0	0.252	1	52927635	52726452	201183	5	52926977	52928293
YIPF1	ATAC_chr1_53889121_53890923	4.23049	5.36573	0.993593	0.05913	0.03135	0.03258	0.40146	0.10867	0.00091	0.77	3	53890021	53889797	224	1	53889121	53890923
OMA1	ATAC_chr1_58432740_58433418	10.7429	5.16123	0.993256	0.29653	0.05014	0	0.26541	0.10595	0.01064	1.132	4	58433079	58546801	113722	5	58432740	58433418
OMA1	ATAC_chr1_58496209_58496529	10.6256	4.71729	0.995486	0.29653	0.05014	0	0.1215	0.09604	0.1304	1.132	4	58496369	58546801	50432	3	58496209	58496529
OMA1	ATAC_chr1_58497543_58498049	10.6256	6.0361	0.998799	0.29653	0.05014	0	0.35042	0.10054	0.00081	1.132	4	58497795	58546801	49006	3	58497543	58498049
L1TD1	ATAC_chr1_62194234_62195929	13.6241	5.94263	0.999997	0.48414	0.06043	0	0.37094	0.12471	0.00097	1.328	4	62195081	62194848	233	1	62194234	62195929
DOCK7	ATAC_chr1_62689616_62690839	11.3579	4.65593	0.994367	0.20758	0.04373	0	0.24448	0.08662	0.00041	0.379	1	62690227	62688385	1842	1	62689616	62690839
ALG6	ATAC_chr1_63366814_63368627	6.16303	5.42539	0.999964	0.15098	0.04952	0.00078	0.51394	0.11165	0.00047	0.641	2	63367720	63367574	146	1	63366814	63368627
EFCAB7	ATAC_chr1_63403485_63403750	9.35173	4.34128	0.999468	0.24627	0.04738	0	0.03594	0.08917	0.3819	1.192	4	63403617	63523371	119754	5	63403485	63403750
ITGB3BP	ATAC_chr1_63403485_63403750	14.0626	4.34128	0.999565	0.42014	0.04816	0	0.03594	0.08917	0.3819	1.412	5	63403617	63593720	190103	5	63403485	63403750
PGM1	ATAC_chr1_63591906_63594765	13.0097	4.71885	0.999972	0.41015	0.07227	0	0.26266	0.11537	0.0202	1.319	4	63593335	63593410	75	1	63591906	63594765
JAK1	ATAC_chr1_64891286_64891840	3.624	4.18547	0.989779	0.08027	0.03379	0.00444	0.37842	0.09741	0.00016	0.214	1	64891563	65067753	176190	5	64891286	64891840
SLC35D1	ATAC_chr1_67052366_67054976	9.4701	8.93675	0.99995	0.2475	0.05578	0	0.38495	0.09198	0	0.784	3	67053671	67054147	476	1	67052366	67054976
IL23R	ATAC_chr1_67189848_67190409	3.76922	6.00282	0.998576	0.06021	0.03309	0.03642	0.19881	0.10366	0.03283	0.606	2	67190128	67138906	51222	3	67189848	67190409
GADD45A	ATAC_chr1_67688609_67690037	6.72815	4.59197	0.999812	0.15002	0.03818	0	0.34467	0.09416	0.00018	1.131	4	67689323	67685200	4123	1	67688609	67690037
GNG12	ATAC_chr1_67832649_67833882	4.56683	3.90379	0.996607	0.06215	0.02499	0.00339	0.16295	0.08462	0.03796	1.055	4	67833265	67833466	201	1	67832649	67833882
TYW3	ATAC_chr1_74728466_74729549	4.8329	6.24651	0.999493	0.06869	0.02958	0.00225	0.45072	0.11522	2.00E-05	1.055	4	74729007	74733151	4144	1	74728466	74729549
TYW3	ATAC_chr1_74729758_74730900	4.92461	9.20482	0.999513	0.06869	0.02958	0.00225	0.58828	0.09139	0	1.055	4	74730329	74733151	2822	1	74729758	74730900
TYW3	ATAC_chr1_74731077_74735910	4.92461	5.34522	0.999384	0.06869	0.02958	0.00225	0.3253	0.09062	7.00E-05	1.055	4	74733493	74733151	342	1	74731077	74735910
SLC44A5	ATAC_chr1_75375370_75377588	13.6777	9.81023	0.999782	0.40726	0.0613	0	0.59524	0.09311	0	0.52	2	75376479	75611113	234634	5	75375370	75377588
SLC44A5	ATAC_chr1_75378714_75379197	13.6777	11.0761	0.999691	0.40726	0.0613	0	0.62453	0.0836	0	0.52	2	75378955	75611113	232158	5	75378714	75379197
ACADM	ATAC_chr1_75720986_75721534	11.429	4.52895	0.99839	0.24031	0.04488	0	0.22739	0.07932	0.00069	1.153	4	75721259	75724430	3171	1	75720986	75721534
USP33	ATAC_chr1_77660046_77660757	4.72887	7.29845	0.99607	0.06198	0.02849	0.00094	0.27373	0.07772	1.00E-05	0.331	1	77660401	77759851	99450	4	77660046	77660757
NEXN	ATAC_chr1_77926517_77927743	12.6341	7.43812	0.999972	0.26436	0.05074	0	0.33405	0.08907	3.00E-05	0.779	3	77927129	77888512	38617	3	77926517	77927743
IFI44	ATAC_chr1_78671677_78675034	4.95651	5.06097	0.998906	0.07568	0.03477	0.0166	0.28894	0.10161	0.00207	1.496	5	78673355	78649795	23560	2	78671677	78675034
IFI44	ATAC_chr1_78687665_78688299	4.95651	5.34414	0.998982	0.07568	0.03477	0.0166	0.25481	0.11396	0.02875	1.496	5	78687981	78649795	38186	3	78687665	78688299
MCOLN2	ATAC_chr1_84922549_84924084	21.6982	5.68403	0.999825	0.66736	0.03907	0	0.22469	0.08412	0.00881	1.188	4	84923316	84997112	73796	4	84922549	84924084
MCOLN2	ATAC_chr1_84967922_84971206	21.6982	10.1806	0.999798	0.66736	0.03907	0	0.57988	0.09209	0	1.188	4	84969563	84997112	27549	3	84967922	84971206
MCOLN2	ATAC_chr1_84978581_84979344	21.6982	4.84388	0.999255	0.66736	0.03907	0	0.4165	0.1154	0.00112	1.188	4	84978962	84997112	18150	2	84978581	84979344
MCOLN2	ATAC_chr1_84980335_84980715	21.6982	5.18641	0.999318	0.66736	0.03907	0	0.39226	0.11117	0.00099	1.188	4	84980525	84997112	16587	2	84980335	84980715
HS2ST1	ATAC_chr1_86853132_86853611	3.97255	4.54232	0.994643	0.0308	0.01686	0.01942	0.22089	0.08853	0.00162	0.465	2	86853371	86914634	61263	4	86853132	86853611
HS2ST1	ATAC_chr1_87088927_87091059	3.97255	10.5143	0.988967	0.0308	0.01686	0.01942	0.396	0.08555	0	0.465	2	87089993	86914634	175359	5	87088927	87091059
GBP1	ATAC_chr1_89040404_89041744	9.32841	5.2572	0.996441	0.31094	0.06823	0	0.23303	0.0841	0.00121	1.225	4	89041073	89065359	24286	2	89040404	89041744
LRRC8C	ATAC_chr1_89657915_89658283	15.2116	4.85226	0.999959	0.2855	0.06205	0	0.18987	0.08918	0.0143	0.639	2	89658099	89633071	25028	3	89657915	89658283
LRRC8C	ATAC_chr1_89724164_89725300	11.0161	4.61043	0.997564	0.2855	0.06205	0	0.25987	0.08758	0.00095	0.639	2	89724731	89633071	91660	4	89724164	89725300
LRRC8C	ATAC_chr1_89757099_89758333	15.2116	7.49532	0.999972	0.2855	0.06205	0	0.40558	0.09416	1.00E-05	0.639	2	89757715	89633071	124644	5	89757099	89758333
DNTTIP2	ATAC_chr1_93850456_93851024	7.63149	4.45045	0.998748	0.13497	0.03699	0	0.25631	0.09502	0.00193	0.904	3	93850739	93879917	29178	3	93850456	93851024
SNX7	ATAC_chr1_98735858_98736567	3.71644	5.91793	0.987659	0.04225	0.02876	0.06203	0.29942	0.09576	0.00019	0.917	3	98736212	98661700	74512	4	98735858	98736567
FAM102B	ATAC_chr1_108533336_108534154	6.32029	4.90793	0.999996	0.13617	0.04473	2.00E-05	0.1111	0.10932	0.1936	0.773	3	108533745	108560088	26343	3	108533336	108534154
FAM102B	ATAC_chr1_108536804_108537295	6.32029	8.21481	1	0.13617	0.04473	2.00E-05	0.31022	0.10982	0.00191	0.773	3	108537049	108560088	23039	2	108536804	108537295
FAM102B	ATAC_chr1_108537690_108538612	6.32029	10.6611	1	0.13617	0.04473	2.00E-05	0.48188	0.14404	0.00128	0.773	3	108538151	108560088	21937	2	108537690	108538612
CLCC1	ATAC_chr1_108938195_108938535	4.37504	4.75337	0.999372	0.05438	0.02632	0.01044	0.39465	0.09762	0.00015	0.568	2	108938365	108963526	25161	3	108938195	108938535
AMIGO1	ATAC_chr1_109509249_109510187	16.255	6.3587	1	0.3624	0.04632	0	0.18179	0.10583	0.07322	0.238	1	109509717	109509737	20	1	109509249	109510187
GSTM4	ATAC_chr1_109655553_109656888	18.435	8.71131	0.999985	0.68472	0.03573	0	0.22271	0.12891	0.05157	1.617	5	109656220	109656098	122	1	109655553	109656888
GSTM2	ATAC_chr1_109667695_109668737	7.43842	7.36592	0.999736	0.2457	0.05325	0	0.15846	0.09953	0.05453	1.392	5	109668215	109668021	194	1	109667695	109668737
GSTM1	ATAC_chr1_109687127_109688862	8.26495	4.1514	0.99753	0.62495	0.0452	0	0.385	0.12005	0.00166	1.013	4	109687994	109687813	181	1	109687127	109688862
GSTM3	ATAC_chr1_109739785_109740936	16.2207	10.1228	1	0.53671	0.04385	0	0.74567	0.07674	0	1.172	4	109740360	109741037	677	1	109739785	109740936
DENND2D	ATAC_chr1_111197275_111206152	9.4482	7.86405	0.99999	0.22599	0.05292	0	0.15502	0.11009	0.1065	0.637	2	111201713	111204534	2821	1	111197275	111206152
DRAM2	ATAC_chr1_111197275_111206152	8.7082	7.86405	0.999987	0.25833	0.04812	0	0.15502	0.11009	0.1065	1.077	4	111201713	111140202	61511	4	111197275	111206152
CHI3L2	ATAC_chr1_111225332_111226587	25.3935	9.82692	1	0.74669	0.03211	0	0.47599	0.0879	0	1.447	5	111225959	111200770	25189	3	111225332	111226587
CHI3L2	ATAC_chr1_111227313_111228158	25.3935	7.88614	1	0.74669	0.03211	0	0.47379	0.1036	6.00E-05	1.447	5	111227735	111200770	26965	3	111227313	111228158
CHI3L2	ATAC_chr1_111228332_111228894	25.3935	9.43468	0.999999	0.74669	0.03211	0	0.55664	0.08972	0	1.447	5	111228613	111200770	27843	3	111228332	111228894
CHI3L2	ATAC_chr1_111229238_111231089	25.3935	15.996	1	0.74669	0.03211	0	0.82899	0.05029	0	1.447	5	111230163	111200770	29393	3	111229238	111231089
CHIA	ATAC_chr1_111302508_111302830	15.6731	14.1851	0.999591	0.48057	0.04722	0	0.63629	0.08	0	1.237	4	111302669	111290850	11819	2	111302508	111302830
RAP1A	ATAC_chr1_111654908_111655171	8.84129	5.89489	0.999466	0.21785	0.04522	0	0.43198	0.10699	0.00029	0.537	2	111655039	111542217	112822	5	111654908	111655171
DDX20	ATAC_chr1_111733284_111733645	4.16632	5.85364	0.998572	0.1213	0.04487	0.00319	0.49549	0.11808	0.00069	1.041	4	111733464	111754831	21367	2	111733284	111733645
DDX20	ATAC_chr1_111752052_111752477	4.19982	10.1385	0.998927	0.1213	0.04487	0.00319	0.65923	0.08836	0	1.041	4	111752264	111754831	2567	1	111752052	111752477
CTTNBP2NL	ATAC_chr1_112402164_112403508	12.2891	18.1164	0.994288	0.28462	0.04347	0	0.76658	0.05885	0	0.685	2	112402835	112396213	6622	2	112402164	112403508
MAGI3	ATAC_chr1_113170454_113171296	4.70129	4.51688	0.998197	0.08108	0.0334	0.00028	0.27563	0.09421	0.00288	0.387	1	113170875	113390514	219639	5	113170454	113171296
MAGI3	ATAC_chr1_113185546_113186099	4.70129	4.92846	0.998484	0.08108	0.0334	0.00028	0.2774	0.0965	0.00137	0.387	1	113185822	113390514	204692	5	113185546	113186099
CD58	ATAC_chr1_116506152_116506738	8.26558	11.5314	0.99924	0.21587	0.04482	0	0.66002	0.07269	0	0.653	2	116506445	116571038	64593	4	116506152	116506738
TBX15	ATAC_chr1_118914051_118915652	9.60592	5.90595	0.999868	0.20626	0.05129	0	0.41383	0.1173	0.00078	0.437	2	118914851	118989555	74704	4	118914051	118915652
TBX15	ATAC_chr1_118915858_118916774	9.60592	4.74135	0.999599	0.20626	0.05129	0	0.15317	0.12606	0.09888	0.437	2	118916315	118989555	73240	4	118915858	118916774
TBX15	ATAC_chr1_118993076_118994246	7.9631	4.27438	0.999131	0.20626	0.05129	0	0.23491	0.11112	0.01099	0.437	2	118993661	118989555	4106	1	118993076	118994246
NBPF8	ATAC_chr1_120414631_120416140	14.279	5.8264	0.999496	0.42046	0.10096	0	0.44936	0.13054	4.00E-05	1.967	5	120415385	120415034	351	1	120414631	120416140
PRKAB2	ATAC_chr1_147072599_147073013	4.10235	7.02806	0.998877	0.10125	0.04835	0.00063	0.67547	0.09258	0	0.485	2	147072805	147172549	99744	4	147072599	147073013
NBPF9	ATAC_chr1_149102484_149103967	7.27889	5.40917	0.998588	0.12735	0.08228	0	0.29358	0.03571	7.00E-05	1.967	5	149103225	149103560	335	1	149102484	149103967
NBPF9	ATAC_chr1_149174546_149175278	7.38132	10.5736	0.998395	0.12735	0.08228	0	0.23804	0.03028	0	1.967	5	149174911	149103560	71351	4	149174546	149175278
NBPF9	ATAC_chr1_149175405_149177923	7.38132	4.68937	0.999331	0.12735	0.08228	0	0.15574	0.06633	0.00013	1.967	5	149176663	149103560	73103	4	149175405	149177923
NBPF9	ATAC_chr1_149244615_149244937	7.80554	5.02989	0.994901	0.12735	0.08228	0	0.15545	0.0626	0.00013	1.967	5	149244775	149103560	141215	5	149244615	149244937
ENSA	ATAC_chr1_150611109_150612413	5.73009	6.34137	0.999651	0.09027	0.04058	0	0.29084	0.0952	1.00E-05	0.719	3	150611761	150629611	17850	2	150611109	150612413
MCL1	ATAC_chr1_150611109_150612413	4.11154	6.34137	0.999056	0.03257	0.01895	0.00485	0.29084	0.0952	1.00E-05	0.29	1	150611761	150579737	32024	3	150611109	150612413
LCE1E	ATAC_chr1_152786079_152786571	7.15581	4.04297	0.999697	0.10456	0.03491	0	0.16827	0.09928	0.04596	1.659	5	152786325	152786213	112	1	152786079	152786571
S100A13	ATAC_chr1_153617399_153617969	12.2054	12.4008	0.989912	0.2326	0.04298	0	0.77944	0.05398	0	1.672	5	153617683	153631359	13676	2	153617399	153617969
S100A13	ATAC_chr1_153626752_153627991	12.5574	10.5332	0.997716	0.2326	0.04298	0	0.49881	0.07927	0	1.672	5	153627371	153631359	3988	1	153626752	153627991
S100A2	ATAC_chr1_153626752_153627991	4.53704	10.5332	0.994254	0.02853	0.01682	0.0424	0.49881	0.07927	0	1.956	5	153627371	153567889	59482	4	153626752	153627991
CREB3L4	ATAC_chr1_153805111_153806180	7.95654	4.838	0.999421	0.10703	0.0334	0	0.17401	0.07455	0.00236	1.02	4	153805645	153967533	161888	5	153805111	153806180
CREB3L4	ATAC_chr1_153928157_153928802	7.95654	13.686	0.998597	0.10703	0.0334	0	0.6548	0.07711	0	1.02	4	153928479	153967533	39054	3	153928157	153928802
GATAD2B	ATAC_chr1_153928157_153928802	4.49405	13.686	0.997129	0.06967	0.03443	0.00202	0.6548	0.07711	0	0.097	1	153928479	153923359	5120	1	153928157	153928802
IL6R	ATAC_chr1_154386598_154387307	8.55559	8.05212	0.999836	0.2611	0.05206	0	0.51861	0.09046	3.00E-05	0.813	3	154386952	154405192	18240	2	154386598	154387307
FCRL3	ATAC_chr1_157700559_157701057	9.03912	5.83124	0.999708	0.29352	0.05326	0	0.34455	0.08939	2.00E-05	1.279	4	157700807	157700768	39	1	157700559	157701057
FCRL1	ATAC_chr1_157833068_157833463	3.95366	6.14558	0.998902	0.03906	0.0204	0.01504	0.36403	0.0943	1.00E-05	0.912	3	157833265	157820119	13146	2	157833068	157833463
DCAF8	ATAC_chr1_160226498_160227266	7.24202	4.31658	0.99875	0.09915	0.02869	1.00E-05	0.20306	0.10957	0.04064	0.201	1	160226881	160262548	35667	3	160226498	160227266
DCAF8	ATAC_chr1_160226498_160227266	7.24202	4.31658	0.99875	0.09915	0.02869	1.00E-05	0.20306	0.10957	0.04064	0.28	1	160226881	160262548	35667	3	160226498	160227266
PEA15	ATAC_chr1_160226498_160227266	4.08953	4.31658	0.998238	0.08055	0.03189	0.00346	0.20306	0.10957	0.04064	0.576	2	160226881	160205379	21502	2	160226498	160227266
PEX19	ATAC_chr1_160226498_160227266	5.19484	4.31658	0.998853	0.07396	0.02816	0.00143	0.20306	0.10957	0.04064	0.935	3	160226881	160286347	59466	4	160226498	160227266
CD84	ATAC_chr1_160546524_160552229	7.64192	5.14227	0.99967	0.16212	0.04124	0	0.26778	0.09728	0.01602	1.317	4	160549376	160579515	30139	3	160546524	160552229
CD84	ATAC_chr1_160558652_160560015	7.64192	5.97836	0.999837	0.16212	0.04124	0	0.35101	0.09167	0.00068	1.317	4	160559333	160579515	20182	2	160558652	160560015
