Peak	Gene	chrom_atac	start_atac	end_atac	chrom_rna	start_rna	end_rna	strand	Gene_type	Gene_id	distance
ATAC_chr19_55251157_55252066	PPP6R1	chr19	55251157	55252066	chr19	55259016	55259017	-	protein_coding	ENSG00000105063.19	6951
ATAC_chr2_230226987_230227880	SP110	chr2	230226987	230227880	chr2	230219983	230219984	-	protein_coding	ENSG00000135899.20	7004
ATAC_chr19_18107778_18108423	MAST3	chr19	18107778	18108423	chr19	18097777	18097778	+	protein_coding	ENSG00000099308.13	10001
ATAC_chr17_39915643_39915912	ORMDL3	chr17	39915643	39915912	chr17	39927600	39927601	-	protein_coding	ENSG00000172057.10	11689
ATAC_chr5_177370560_177371068	RGS14	chr5	177370560	177371068	chr5	177357923	177357924	+	protein_coding	ENSG00000169220.18	12637
ATAC_chr11_47271853_47273171	NR1H3	chr11	47271853	47273171	chr11	47257995	47257996	+	protein_coding	ENSG00000025434.19	13858
ATAC_chr3_160005886_160007265	IL12A	chr3	160005886	160007265	chr3	159988834	159988835	+	protein_coding	ENSG00000168811.8	17052
ATAC_chr1_154386598_154387307	IL6R	chr1	154386598	154387307	chr1	154405342	154405343	+	protein_coding	ENSG00000160712.13	18036
ATAC_chr1_155226415_155228276	THBS3	chr1	155226415	155228276	chr1	155207896	155207897	-	protein_coding	ENSG00000169231.13	18519
ATAC_chr19_18107778_18108423	IL12RB1	chr19	18107778	18108423	chr19	18086933	18086934	-	protein_coding	ENSG00000096996.16	20845
ATAC_chr6_167020312_167020739	CEP43	chr6	167020312	167020739	chr6	166999396	166999397	+	protein_coding	ENSG00000213066.14	20916
ATAC_chr11_47271853_47273171	ACP2	chr11	47271853	47273171	chr11	47248813	47248814	-	protein_coding	ENSG00000134575.13	23040
ATAC_chr16_30469625_30474507	SEPHS2	chr16	30469625	30474507	chr16	30445873	30445874	-	protein_coding	ENSG00000179918.19	23752
ATAC_chr2_233384001_233386986	DGKD	chr2	233384001	233386986	chr2	233354493	233354494	+	protein_coding	ENSG00000077044.11	29508
ATAC_chr22_29798158_29798801	ZMAT5	chr22	29798158	29798801	chr22	29767006	29767007	-	protein_coding	ENSG00000100319.13	31152
ATAC_chr1_7993630_7994674	PARK7	chr1	7993630	7994674	chr1	7961710	7961711	+	protein_coding	ENSG00000116288.13	31920
ATAC_chr1_67274610_67275186	IL12RB2	chr1	67274610	67275186	chr1	67307872	67307873	+	protein_coding	ENSG00000081985.14	32687
ATAC_chr11_61826768_61830134	TMEM258	chr11	61826768	61830134	chr11	61792598	61792599	-	protein_coding	ENSG00000134825.16	34170
ATAC_chr9_133953610_133955410	VAV2	chr9	133953610	133955410	chr9	133992323	133992324	-	protein_coding	ENSG00000160293.17	36914
ATAC_chr3_121792916_121793574	IQCB1	chr3	121792916	121793574	chr3	121835059	121835060	-	protein_coding	ENSG00000173226.17	41486
ATAC_chr3_121792916_121793574	EAF2	chr3	121792916	121793574	chr3	121835208	121835209	+	protein_coding	ENSG00000145088.9	41635
ATAC_chr3_121792916_121793574	GOLGB1	chr3	121792916	121793574	chr3	121749740	121749741	-	protein_coding	ENSG00000173230.17	43176
ATAC_chr2_43273436_43274106	ENSG00000234936	chr2	43273436	43274106	chr2	43229572	43229573	+	lncRNA	ENSG00000234936.1	43864
ATAC_chr7_2734198_2737162	AMZ1	chr7	2734198	2737162	chr7	2688201	2688202	+	protein_coding	ENSG00000174945.14	45997
ATAC_chr17_39915643_39915912	ZPBP2	chr17	39915643	39915912	chr17	39868201	39868202	+	protein_coding	ENSG00000186075.13	47442
ATAC_chr19_49388004_49388562	CD37	chr19	49388004	49388562	chr19	49335405	49335406	+	protein_coding	ENSG00000104894.12	52599
ATAC_chr8_11413434_11414105	FAM167A	chr8	11413434	11414105	chr8	11466752	11466753	-	protein_coding	ENSG00000154319.16	52648
ATAC_chr20_46063685_46064180	MMP9	chr20	46063685	46064180	chr20	46008907	46008908	+	protein_coding	ENSG00000100985.7	54778
ATAC_chr17_39920149_39921796	IKZF3	chr17	39920149	39921796	chr17	39864311	39864312	-	protein_coding	ENSG00000161405.17	55838
ATAC_chr17_36543840_36546642	ZNHIT3	chr17	36543840	36546642	chr17	36486680	36486681	+	protein_coding	ENSG00000273611.5	57160
ATAC_chr10_35184398_35186239	CREM	chr10	35184398	35186239	chr10	35126845	35126846	+	protein_coding	ENSG00000095794.21	57553
ATAC_chr1_116506152_116506738	CD58	chr1	116506152	116506738	chr1	116571025	116571026	-	protein_coding	ENSG00000116815.16	64288
ATAC_chr7_74916285_74916561	GTF2IRD2	chr7	74916285	74916561	chr7	74851604	74851605	-	protein_coding	ENSG00000196275.16	64681
ATAC_chr12_9711782_9718026	ENSG00000272917	chr12	9711782	9718026	chr12	9642871	9642872	+	lncRNA	ENSG00000272917.1	68911
ATAC_chr1_1847693_1848321	TMEM52	chr1	1847693	1848321	chr1	1919278	1919279	-	protein_coding	ENSG00000178821.13	70958
ATAC_chr2_111982717_111983168	TMEM87B	chr2	111982717	111983168	chr2	112055268	112055269	+	protein_coding	ENSG00000153214.11	72101
ATAC_chr4_48756805_48757440	OCIAD1	chr4	48756805	48757440	chr4	48831087	48831088	+	protein_coding	ENSG00000109180.15	73648
ATAC_chr18_69870394_69872231	CD226	chr18	69870394	69872231	chr18	69947872	69947873	-	protein_coding	ENSG00000150637.9	75642
ATAC_chr8_11413434_11414105	BLK	chr8	11413434	11414105	chr8	11494386	11494387	+	protein_coding	ENSG00000136573.15	80282
ATAC_chr3_53044401_53047237	RFT1	chr3	53044401	53047237	chr3	53130434	53130435	-	protein_coding	ENSG00000163933.10	83198
ATAC_chr16_85983281_85986388	IRF8	chr16	85983281	85986388	chr16	85899161	85899162	+	protein_coding	ENSG00000140968.12	84120
ATAC_chr19_18107778_18108423	MPV17L2	chr19	18107778	18108423	chr19	18193217	18193218	+	protein_coding	ENSG00000254858.10	84795
ATAC_chr1_67334857_67337572	SERBP1	chr1	67334857	67337572	chr1	67430401	67430402	-	protein_coding	ENSG00000142864.15	92830
ATAC_chr10_35184398_35186239	CUL2	chr10	35184398	35186239	chr10	35090340	35090341	-	protein_coding	ENSG00000108094.17	94058
ATAC_chr13_42478532_42479101	TNFSF11	chr13	42478532	42479101	chr13	42574151	42574152	+	protein_coding	ENSG00000120659.16	95051
ATAC_chr7_37340793_37343675	ELMO1	chr7	37340793	37343675	chr7	37448863	37448864	-	protein_coding	ENSG00000155849.16	105189
ATAC_chr22_21755912_21756531	MAPK1	chr22	21755912	21756531	chr22	21867644	21867645	-	protein_coding	ENSG00000100030.15	111114
ATAC_chr2_134581408_134584181	TMEM163	chr2	134581408	134584181	chr2	134718999	134719000	-	protein_coding	ENSG00000152128.13	134819
ATAC_chr14_103427556_103428058	COA8	chr14	103427556	103428058	chr14	103562959	103562960	+	protein_coding	ENSG00000256053.9	134902
ATAC_chr8_78664698_78667310	ENSG00000285744	chr8	78664698	78667310	chr8	78805292	78805293	+	lncRNA	ENSG00000285744.1	137983
ATAC_chr8_78664698_78667310	IL7	chr8	78664698	78667310	chr8	78805462	78805463	-	protein_coding	ENSG00000104432.14	138153
ATAC_chr8_11413434_11414105	ENSG00000269954	chr8	11413434	11414105	chr8	11564693	11564694	-	lncRNA	ENSG00000269954.2	150589
ATAC_chr1_150925486_150926850	CTSS	chr1	150925486	150926850	chr1	150765777	150765778	-	protein_coding	ENSG00000163131.12	159709
ATAC_chr12_123432166_123434352	CDK2AP1	chr12	123432166	123434352	chr12	123271855	123271856	-	protein_coding	ENSG00000111328.7	160311
ATAC_chr3_160005886_160007265	SCHIP1	chr3	160005886	160007265	chr3	159839860	159839861	+	protein_coding	ENSG00000151967.18	166026
ATAC_chr8_78664698_78667310	LINC02605	chr8	78664698	78667310	chr8	78835306	78835307	+	lncRNA	ENSG00000261618.2	167997
ATAC_chr10_79240949_79252037	ZMIZ1	chr10	79240949	79252037	chr10	79068965	79068966	+	protein_coding	ENSG00000108175.19	171984
ATAC_chr8_80363556_80365184	LINC02986	chr8	80363556	80365184	chr8	80541299	80541300	+	lncRNA	ENSG00000260317.1	176116
ATAC_chr17_39915643_39915912	GRB7	chr17	39915643	39915912	chr17	39737937	39737938	+	protein_coding	ENSG00000141738.14	177706
ATAC_chr22_21755912_21756531	PPM1F-AS1	chr22	21755912	21756531	chr22	21938292	21938293	+	lncRNA	ENSG00000224086.6	181762
ATAC_chr6_135496959_135499750	ENSG00000234084	chr6	135496959	135499750	chr6	135301567	135301568	+	lncRNA	ENSG00000234084.1	195392
ATAC_chr3_160005886_160007265	IL12A-AS1	chr3	160005886	160007265	chr3	160207091	160207092	-	lncRNA	ENSG00000244040.7	199827
ATAC_chr4_105271237_105271604	PPA2	chr4	105271237	105271604	chr4	105474061	105474062	-	protein_coding	ENSG00000138777.20	202458
ATAC_chr1_150925486_150926850	HORMAD1	chr1	150925486	150926850	chr1	150720894	150720895	-	protein_coding	ENSG00000143452.16	204592
ATAC_chr22_30078766_30079303	ASCC2	chr22	30078766	30079303	chr22	29838273	29838274	-	protein_coding	ENSG00000100325.15	240493
ATAC_chr8_11413434_11414105	GATA4	chr8	11413434	11414105	chr8	11704201	11704202	+	protein_coding	ENSG00000136574.19	290097
ATAC_chr22_30078766_30079303	UQCR10	chr22	30078766	30079303	chr22	29767368	29767369	+	protein_coding	ENSG00000184076.13	311398
ATAC_chr3_28036352_28037911	EOMES	chr3	28036352	28037911	chr3	27722322	27722323	-	protein_coding	ENSG00000163508.13	314030
ATAC_chr3_28036352_28037911	LINC02084	chr3	28036352	28037911	chr3	27712909	27712910	+	lncRNA	ENSG00000272282.1	323443
ATAC_chr16_68368372_68369181	CARMIL2	chr16	68368372	68369181	chr16	67645143	67645144	+	protein_coding	ENSG00000159753.15	723229
ATAC_chr11_61826768_61830134	GNG3	chr11	61826768	61830134	chr11	62707675	62707676	+	protein_coding	ENSG00000162188.6	877542
