IMD	Gene	LCL_mean_TPM	monocyte_mean_TPM	status	LCL	mono_u	mono_s
UC_deLange_2017	GNA12	40.5147	25.8208	justMonocyte	60.187	16.0958	18.7959
UC_deLange_2017	ABHD11	14.2681	5.0467	justMonocyte	7.28881	27.8689	16.6111
IBD_deLange_2017	GNB2	184.3	157.205	justMonocyte	102.429	20.5393	10.2084
UC_deLange_2017	IRF5	141.534	115.216	justMonocyte	124.666	12.2434	6.49797
PBC_Cordell_2021	ZC3HAV1L	21.4209	0.150601	justMonocyte	6.29607	0.360367	6.60033
MS_Patsopoulos_2019	ZNF746	7.91957	48.7506	justMonocyte	17.2871	3.56149	9.11752
CD_deLange_2017	TNFSF15	0.295174	2.22662	justMonocyte	0.154573	0.672779	18.7174
CD_deLange_2017	NCF4	68.6247	161.353	justMonocyte	24.0043	122.408	46.525
UC_deLange_2017	TOM1	15.3807	64.7904	justMonocyte	17.3965	43.1074	55.485
PBC_Cordell_2021	GFOD2	7.35657	2.94795	justMonocyte	8.09732	3.40898	27.043
UC_deLange_2017	ACD	30.3941	5.35664	justMonocyte	16.8636	2.89357	2.1758
CD_deLange_2017	KSR1	34.0161	40.7584	justMonocyte	107.229	2.33173	12.0746
PBC_Cordell_2021	STARD3	24.1528	23.4986	justMonocyte	24.6653	18.2629	7.29361
MS_Patsopoulos_2019	NPEPPS	32.7131	16.2506	justMonocyte	114.047	63.9081	58.6344
IBD_deLange_2017	ZGLP1	0.925469	2.55011	justMonocyte	1.15738	3.28168	0.470474
MS_Patsopoulos_2019	WIZ	10.319	6.47517	justMonocyte	24.7488	2.88783	6.1147
PBC_Cordell_2021	ANKLE1	15.1287	3.38942	justMonocyte	11.5523	0.790008	10.4123
IBD_deLange_2017	NUMBL	5.3941	1.63404	justMonocyte	6.64191	1.17504	2.60771
RA_Ishigaki_2021_EUR	REL	9.21716	145.506	justMonocyte	13.8757	42.6168	45.1091
IBD_deLange_2017	IL18R1	23.815	0.141738	justMonocyte	18.6102	0.0813028	0.558872
MS_Patsopoulos_2019	MERTK	2.13056	11.4674	justMonocyte	1.96673	1.64376	7.00568
CD_deLange_2017	ITGA4	59.3029	101.947	justMonocyte	81.4118	99.2141	22.844
RA_Ishigaki_2021_EUR	HSPD1	666.997	46.5604	justMonocyte	440.455	45.831	90.2278
RA_Ishigaki_2021_EUR	PLCL1	0.29571	3.19821	justMonocyte	0.602384	0.0972562	0.67907
UC_deLange_2017	CXCR1	0.00482574	0.808062	justMonocyte	0.00965473	0.568208	0.344962
CD_deLange_2017	ASCC2	54.6729	28.9342	justMonocyte	53.3706	34.9804	33.6624
RA_Ishigaki_2021_EUR	IFNGR2	95.1314	342.371	justMonocyte	63.0334	287.366	261.717
CD_deLange_2017	ETS2	5.68874	370.327	justMonocyte	5.45103	47.2762	62.3836
RA_Ishigaki_2021_EUR	ICOSLG	0.364611	208.787	justMonocyte	60.8124	15.3619	8.27335
RA_Ishigaki_2021_EUR	UBE2L3	77.5737	38.6551	justMonocyte	68.8077	309.533	288.061
CD_deLange_2017	LIF	3.65013	15.7551	justMonocyte	3.26772	0.0073589	0.346605
PBC_Cordell_2021	LCAT	4.43164	7.68821	justMonocyte	2.11537	1.32285	4.4436
RA_Ishigaki_2021_EUR	PHF19	69.7909	18.1252	justMonocyte	97.9953	17.7086	3.99253
RA_Ishigaki_2021_EUR	FADS2	98.9491	3.76445	justMonocyte	267.309	1.39117	8.39841
RA_Ishigaki_2021_EUR	IRF8	163.282	379.315	justMonocyte	180.024	176.233	83.7329
CD_deLange_2017	IKZF3	104.185	0.2727	justLCL	265.074	2.08118	16.7455
MS_Patsopoulos_2019	COA8	12.9732	6.42652	justLCL	28.3458	22.187	12.5165
RA_Ishigaki_2021_EUR	HMG20A	35.0054	13.1924	justLCL	73.1016	29.3989	12.7138
PBC_Cordell_2021	CTSH	221.528	136.676	justLCL	223.111	219.811	178.875
PBC_Cordell_2021	RASGRF1	1.40563	0.0492454	justLCL	2.92504	0.302796	1.42879
IBD_deLange_2017	CIITA	22.5416	79.0461	justLCL	111.516	80.4046	26.9947
IBD_deLange_2017	NFATC2IP	43.6729	115.753	justLCL	53.3615	8.00035	25.1598
RA_Ishigaki_2021_EUR	SNN	48.3003	97.2182	justLCL	37.6026	26.7472	17.7105
MS_Patsopoulos_2019	BATF	195.043	10.9097	justLCL	40.0516	19.3685	46.1399
RA_Ishigaki_2021_EUR	KCTD13	9.08311	12.1519	justLCL	13.009	3.09864	3.20486
RA_Ishigaki_2021_EUR	NPIPB13	0.0884718	0.418777	justLCL	19.2937	1.53218	2.37303
RA_Ishigaki_2021_EUR	MAPK3	38.4477	49.6781	justLCL	28.6627	5.49611	2.01655
PBC_Cordell_2021	TNFSF11	17.8145	0.0163344	justLCL	10.2662	0.0210911	0.311143
SLE_Bentham_2015	SH2B3	48.7614	586.785	justLCL	64.2134	110.811	26.043
RA_Ishigaki_2021_EUR	NPIPB12	0.0911528	0.395291	justLCL	54.7828	5.07533	12.3034
RA_Ishigaki_2021_EUR	PIP4K2C	32.1769	30.3156	justLCL	22.9899	3.58738	8.62366
RA_Ishigaki_2021_EUR	OS9	95.0617	121.097	justLCL	122.088	191.691	103.213
MS_Patsopoulos_2019	TSPAN31	18.3432	9.12284	justLCL	60.5937	29.404	28.5402
MS_Patsopoulos_2019	TSFM	30.9008	7.40734	justLCL	22.1794	10.4816	31.6382
RA_Ishigaki_2021_EUR	ARID2	9.28418	9.73726	justLCL	24.8299	56.4577	77.6774
PBC_Cordell_2021	ZCRB1	100.469	21.1184	justLCL	32.5923	41.3236	26.7521
PBC_Cordell_2021	PPHLN1	26.3861	20.2787	justLCL	61.5095	41.1617	30.6729
IBD_deLange_2017	CD69	105.204	41.6335	justLCL	55.2286	32.5335	6.99634
MS_Patsopoulos_2019	CLEC2B	19.4247	161.161	justLCL	7.56794	139.451	20.9033
MS_Patsopoulos_2019	MPHOSPH9	14.6408	8.87716	justLCL	28.1381	9.45715	12.1786
UC_deLange_2017	SEPHS2	145.606	24.1741	justLCL	85.1278	30.2914	33.6925
SLE_Bentham_2015	BCKDK	71.7239	43.8933	justLCL	55.6203	56.5375	33.3357
RA_Ishigaki_2021_EUR	FAM167A	6.70912	0.356233	justLCL	8.20939	0.0410705	0.612293
SLE_Bentham_2015	GATA4	0.401877	0	justLCL	0.477041	0	0.262819
MS_Patsopoulos_2019	IL7	11.7319	0.85045	justLCL	13.8564	0.525302	14.5548
MS_Patsopoulos_2019	PKIA	13.8686	1.4697	justLCL	12.2373	0.0357734	0.283002
CD_deLange_2017	RIPK2	47.9517	263.709	justLCL	26.7796	211.575	77.8504
CD_deLange_2017	JAK2	22.8579	116.837	justLCL	25.7332	36.4703	13.1139
UC_deLange_2017	CD274	57.9115	0.946537	justLCL	47.3262	0.108268	108.047
RA_Ishigaki_2021_EUR	TRAF1	225.029	54.1179	justLCL	295.529	0.812451	41.5623
PBC_Cordell_2021	VAV2	65.9517	18.2996	justLCL	75.9561	1.44347	4.31154
IBD_deLange_2017	GRB7	0.551475	0.00273721	justLCL	0.396063	0	0.304362
RA_Ishigaki_2021_EUR	PRR14	35.2279	25.7216	justLCL	28.4782	7.30574	9.66388
SLE_Bentham_2015	GSDMB	11.8686	4.14952	justLCL	28.7733	3.9514	80.1249
PBC_Cordell_2021	ZPBP2	2.51314	0.00149016	justLCL	1.00435	0.46954	0.726953
PBC_Cordell_2021	MED1	39.6381	20.3026	justLCL	61.1043	35.6293	13.3968
PBC_Cordell_2021	PSKH1	17.6059	14.2415	justLCL	19.1328	10.2585	0.299445
PBC_Cordell_2021	ESRP2	0.280161	0.277852	justLCL	8.22579	0.0605551	0.691545
PBC_Cordell_2021	CARMIL2	31.378	0.134675	justLCL	39.9851	0	0.554474
SLE_Bentham_2015	CFAP20	45.6354	14.3478	justLCL	22.2751	18.5785	21.1416
PBC_Cordell_2021	TNFRSF1A	14.9029	65.0085	justLCL	12.6188	51.9332	56.3485
MS_Patsopoulos_2019	EIF1AD	34.9276	52.1256	justLCL	24.595	101.198	68.9609
MS_Patsopoulos_2019	SART1	75.8954	32.3886	justLCL	60.0493	18.1864	11.9473
IBD_deLange_2017	SLC50A1	80.0214	18.1417	justLCL	35.8329	28.2395	19.2826
CD_deLange_2017	IL6R	11.9625	235.385	justLCL	18.3061	29.1962	126.608
IBD_deLange_2017	CTSS	118.786	8165.32	justLCL	100.312	4605.18	754.829
IBD_deLange_2017	CERS2	29.7909	56.3687	justLCL	50.3514	31.3686	24.7518
MS_Patsopoulos_2019	CD58	127.815	119.289	justLCL	39.6356	80.5028	146.45
RA_Ishigaki_2021_EUR	GFI1	14.9759	0.754873	justLCL	11.1668	0.0706032	0.695847
PBC_Cordell_2021	SERBP1	220.668	78.8453	justLCL	395.563	139.735	107.643
RA_Ishigaki_2021_EUR	IL12RB2	8.70483	0.0560094	justLCL	6.78323	0.278497	0.433329
IBD_deLange_2017	LURAP1	0.192225	0.122543	justLCL	0.15554	0.149129	9.08821
RA_Ishigaki_2021_EUR	POU3F1	3.98552	0.03577	justLCL	5.72225	0	0.23069
CD_deLange_2017	YY1AP1	33.563	34.392	justLCL	85.7694	24.013	31.2327
UC_deLange_2017	PARK7	398.885	121.084	justLCL	169.731	234.562	95.3178
UC_deLange_2017	TTC34	0.238874	0.670032	justLCL	0.0421526	0.647216	15.7551
UC_deLange_2017	TNFRSF14	66.0992	51.4188	justLCL	94.0648	21.8464	14.9934
IBD_deLange_2017	TMEM52	0.269437	0.0958109	justLCL	0.0854535	0	0.0765123
IBD_deLange_2017	CCNL2	39.1662	43.955	justLCL	54.6183	107.902	35.0549
MS_Patsopoulos_2019	BANF1	152.164	47.3058	justLCL	83.2863	38.6297	28.872
IBD_deLange_2017	ARHGEF2	46.7212	42.4254	justLCL	91.0899	9.2729	22.7497
PBC_Cordell_2021	GPR137	14.2493	8.28624	justLCL	15.8495	0.610033	6.63125
CD_deLange_2017	FADS3	3.98579	2.9566	justLCL	13.1107	2.31541	20.9868
CD_deLange_2017	FADS1	41.6515	27.6964	justLCL	89.8328	28.187	44.8091
RA_Ishigaki_2021_EUR	GNG3	0.604826	2.52419	justLCL	0.119879	0	0.0143958
UC_deLange_2017	ZFP91	65.9625	136.178	justLCL	99.7003	22.899	15.2098
MS_Patsopoulos_2019	ACP2	16.0268	10.7065	justLCL	11.4435	1.07529	3.49822
MS_Patsopoulos_2019	NR1H3	3.17962	3.6479	justLCL	2.55703	4.0546	23.2678
MS_Patsopoulos_2019	KIF11	94.4236	0.719317	justLCL	82.5813	0.164605	2.54329
MS_Patsopoulos_2019	ZMIZ1	46.5603	82.5042	justLCL	128.827	18.3922	20.0675
CD_deLange_2017	CISD1	33.3378	4.36585	justLCL	19.4918	5.87251	7.83562
CD_deLange_2017	CUL2	42.7641	32.0055	justLCL	37.1634	31.6374	17.6916
CD_deLange_2017	CREM	23.1206	9.40906	justLCL	26.3816	26.939	49.3752
IBD_deLange_2017	KIF5B	95.118	146.43	justLCL	103.395	143.288	177.626
CD_deLange_2017	MAP3K8	54.8606	314.863	justLCL	37.2241	89.8883	99.709
RA_Ishigaki_2021_EUR	RBM17	65.4531	61.9993	justLCL	66.076	77.9851	117.474
IBD_deLange_2017	ITLN1	0.0991957	0.462101	justLCL	0.0179945	2.66453	0.0733423
MS_Patsopoulos_2019	SLAMF7	256.705	3.92815	justLCL	256.272	3.66601	800.386
MS_Patsopoulos_2019	SLAMF6	146.413	2.15557	justLCL	82.4214	0.159669	1.2561
MS_Patsopoulos_2019	FCRL3	1.14531	0.17037	justLCL	1.70295	1.24638	0.899829
CD_deLange_2017	GON4L	12.1126	13.9805	justLCL	79.8764	28.0569	31.3985
RA_Ishigaki_2021_EUR	BLK	74.5952	0.0945906	justLCL	73.2291	0.0929322	1.65125
SLE_Bentham_2015	PINX1	18.6702	3.05871	justLCL	15.2232	6.40734	3.79644
UC_deLange_2017	IL1R2	6.85764	3.78478	justLCL	3.12905	2.86677	2.48882
MS_Patsopoulos_2019	TMEM87B	36.3861	50.4842	justLCL	38.3455	6.88491	11.1392
PBC_Cordell_2021	TMEM163	0.930831	0.0463705	justLCL	1.12255	0.213162	0.621093
PBC_Cordell_2021	NAB1	36.9705	38.5617	justLCL	36.9762	17.7052	62.5409
RA_Ishigaki_2021_EUR	FAM126B	7.88472	23.0007	justLCL	7.91367	15.1878	19.622
CD_deLange_2017	NDUFS1	36.9732	44.4067	justLCL	69.9626	83.4467	66.5656
CD_deLange_2017	CAB39	112.359	135.615	justLCL	125.071	38.2	81.5546
CD_deLange_2017	SLC16A14	0.769705	0.0405169	justLCL	0.859424	0.0064468	0.427519
CD_deLange_2017	SP100	59.1555	37.5795	justLCL	115.685	174.856	176.883
CD_deLange_2017	SP110	55.9276	30.2104	justLCL	72.8979	248.298	194.92
MS_Patsopoulos_2019	SP140	70.8499	3.84837	justLCL	72.4051	6.23545	9.74343
MS_Patsopoulos_2019	MAPK1	40.0161	339.242	justLCL	97.3034	35.0469	62.4129
RA_Ishigaki_2021_EUR	CCDC116	0.173995	0.117279	justLCL	0.0765622	0	0.0491867
RA_Ishigaki_2021_EUR	UBASH3A	2.50295	0.0584201	justLCL	2.96507	0.0676513	0.232254
MS_Patsopoulos_2019	LIME1	1.60268	0.521307	justLCL	9.23082	0.589767	0.313496
RA_Ishigaki_2021_EUR	AFF3	0.420375	4.54324	justLCL	1.47365	2.28409	8.03687
UC_deLange_2017	ARFRP1	15.3378	4.28635	justLCL	21.7171	0.258764	0.459113
RA_Ishigaki_2021_EUR	CD40	280.788	8.53232	justLCL	136.192	8.07529	10.2271
CD_deLange_2017	MMP9	1.10777	1.98354	justLCL	0.589108	0.360493	64.7906
CD_deLange_2017	DGKD	36.3619	46.2708	justLCL	79.8053	27.3265	6.81816
SLE_Bentham_2015	SPRED2	8.06676	4.44933	justLCL	10.5301	0.252713	36.1224
CD_deLange_2017	THADA	12.1689	12.0011	justLCL	57.7963	16.8508	30.141
IBD_deLange_2017	GTF3C2	52.9759	26.2072	justLCL	76.5387	9.58326	12.2298
MS_Patsopoulos_2019	FMNL1	43.7426	162.039	justLCL	74.958	107.716	33.4959
CD_deLange_2017	NAGLU	23.5147	16.2412	justLCL	17.2226	1.33813	1.44577
IBD_deLange_2017	SMARCE1	2.09115	17.7392	justLCL	88.9468	134.558	147.2
IBD_deLange_2017	IGFBP4	34.6273	0.530414	justLCL	17.0429	0.00826553	0.40415
PBC_Cordell_2021	ARHGAP27	13.3137	46.94	justLCL	32.6279	27.8413	10.6312
IBD_deLange_2017	CCR7	522.563	0.326792	justLCL	269.404	1.6189	121.644
UC_deLange_2017	MIEN1	34.118	21.4299	justLCL	19.7925	59.5286	37.4798
MS_Patsopoulos_2019	YPEL1	0.698928	1.33905	justLCL	4.65131	0.573428	2.67479
PBC_Cordell_2021	PLEKHM1	6.40214	13.3536	justLCL	22.6969	13.676	13.9046
RA_Ishigaki_2021_EUR	PTPN2	20.2118	45.6751	justLCL	20.7067	69.8635	203.343
CD_deLange_2017	DNMT3A	22.185	9.9634	justLCL	41.9746	31.9414	6.49881
PBC_Cordell_2021	ID2	66.7426	1322.01	justLCL	32.7721	461.632	92.3076
SLE_Bentham_2015	PPP6R1	111.716	38.0653	justLCL	156.263	9.13326	6.24682
MS_Patsopoulos_2019	TEAD2	0.681501	0.120897	justLCL	0.403138	0.00673565	0.414128
MS_Patsopoulos_2019	KASH5	0.378016	0.00338372	justLCL	0.254488	0.0819356	0.309494
MS_Patsopoulos_2019	TBX21	31.1542	0.210695	justLCL	21.1511	0.00772374	0.390943
MS_Patsopoulos_2019	CD37	180.609	139.809	justLCL	156.806	125.145	32.0852
CD_deLange_2017	PPP5C	39.2038	8.11148	justLCL	53.1919	8.03624	3.2265
RA_Ishigaki_2021_EUR	YJEFN3	2.87131	0.544171	justLCL	1.43632	0.101242	0.532278
PBC_Cordell_2021	MAST3	20.0724	27.1201	justLCL	35.0361	20.2516	57.6957
PBC_Cordell_2021	IL12RB1	18.3807	12.6822	justLCL	11.5875	5.50293	6.86485
PBC_Cordell_2021	ARRDC2	7.94906	74.388	justLCL	8.2016	49.4419	12.549
PBC_Cordell_2021	CD226	64.126	1.05717	justLCL	124.977	2.51235	13.033
IBD_deLange_2017	PTGIR	10.1448	10.0117	justLCL	6.76674	22.711	39.0675
IBD_deLange_2017	IGLL5	17.2584	0.0245754	justLCL	45.2661	4.69683	0.239689
IBD_deLange_2017	UQCR10	272.046	239.326	justLCL	53.8716	550.08	383.934
CD_deLange_2017	AARS2	27.9464	4.41272	justLCL	22.4502	1.37689	18.7302
UC_deLange_2017	MFSD4B	7.28954	9.52848	justLCL	11.0236	1.70992	15.6084
MS_Patsopoulos_2019	IFNGR1	114.097	379.964	justLCL	76.0285	362.395	270.554
CD_deLange_2017	CCR6	1.18525	0.0115851	justLCL	31.8322	0.149588	0.90459
IBD_deLange_2017	CEP43	4.46917	7.92853	justLCL	24.1817	5.08578	52.3784
UC_deLange_2017	AMZ1	1.91582	1.49602	justLCL	3.71725	5.03845	4.27524
UC_deLange_2017	CARD11	69.8633	0.200052	justLCL	73.6632	0.148163	0.453599
UC_deLange_2017	TTYH3	37.0643	96.7285	justLCL	61.1459	6.91593	7.34061
MS_Patsopoulos_2019	ELMO1	54.8713	25.4732	justLCL	103.624	128.057	63.7693
IBD_deLange_2017	GTF2IRD2	0.207775	0.330699	justLCL	14.9055	61.4978	27.838
MS_Patsopoulos_2019	ZNF777	19.4343	4.06645	justLCL	15.2576	0.288549	0.340429
RA_Ishigaki_2021_EUR	TNPO3	127.563	39.3058	justLCL	82.4377	17.4069	19.6736
RA_Ishigaki_2021_EUR	ETV7	6.95174	3.3367	justLCL	2.90816	0.8056	2.02943
RA_Ishigaki_2021_EUR	ATP6V1F	291.885	315.065	justLCL	49.1882	267.402	121.703
UC_deLange_2017	LAMB1	1.68606	0.359206	justLCL	2.53799	10.2871	24.5007
IBD_deLange_2017	GIGYF1	24.6595	65.6399	justLCL	37.3014	16.0074	18.2677
IBD_deLange_2017	TFR2	2.66783	0.323421	justLCL	2.43765	0.599245	4.46835
IBD_deLange_2017	SMURF1	9.56032	48.0048	justLCL	14.6075	13.8005	6.24671
CD_deLange_2017	NCF1	32	27.2511	justLCL	309.837	266.06	56.9104
RA_Ishigaki_2021_EUR	JARID2	23.0938	87.0397	justLCL	31.5784	75.8516	165.604
SLE_Bentham_2015	TNIP1	396.024	62.5016	justLCL	418.666	17.0518	143.448
RA_Ishigaki_2021_EUR	TCF7	31.6005	0.385337	justLCL	66.5863	4.19486	3.17189
CD_deLange_2017	UBA7	84.6434	73.2651	justLCL	72.2966	18.424	2.20091
UC_deLange_2017	PRKAR2A	26.0295	113.258	justLCL	40.9814	22.9252	29.4745
UC_deLange_2017	APEH	117.402	27.5623	justLCL	94.0651	13.6463	4.92041
UC_deLange_2017	PDGFB	3.53539	0.0999621	justLCL	2.65825	0	0.771525
IBD_deLange_2017	ZMAT5	12.3834	4.35489	justLCL	9.6879	50.1782	15.3249
MS_Patsopoulos_2019	EOMES	1.07748	0.0520224	justLCL	0.987031	0.0659492	0.262282
CD_deLange_2017	RFT1	20.2547	16.0656	justLCL	25.346	4.21786	17.4391
CD_deLange_2017	IMPG2	0.236729	0.448316	justLCL	0.126626	0.378682	3.55251
IBD_deLange_2017	IRF1-AS1	5.63003	22.9806	justLCL	11.3602	24.5446	10.1046
